278  =Lcm16T
482  =%2$s| успешно выступает за клуб «%1$s|».
483  =%1$s| верит в победу над клубом «%2$s|».
484  =%1$s| предлагается бросить вызов клубу «%2$s|».
485  =%1$s| рассказывает о матче с клубом «%2$s|».
487  =%1$s| о матче с клубом «%2$s|».
489  =Команда %3$s|, занимающая %2$s|-е место, поддерживает впечатляющую форму на соревновании «%1$s|».
490  =Ни формы, ни результатов. Команда «%1$s|» скатилась вниз турнирной таблицы соревнования «%2$s|».
491  =Команда «%1$s|», занимающая %3$s|-е место, - «темная лошадка» на соревновании «%2$s|».
492  =«%1$s|» выступает неуверенно на соревновании «%2$s|».
493  =«%2$d|» интригует своей игрой на турнире «%1$s|».
494  =Участники соревнования «%1$s|» на финишной прямой. Сможет ли «%2$s|» выстоять в играх %3$d|?
495  =Команда %3$s|, занимающая %2$s|-е место, претендует на победу в соревновании «%1$s|».
496  =Команда %3$s|, занимающая %2$s|-е место, потеряла шансы на победу в соревновании «%1$s|».
497  =Команды, вышедшие в полуфинал соревнования «%s», готовы к бою.
498  =«%2$s|» заявляет о своем преимуществе в первой полуфинальной встрече соревнования «%1$s|».
499  =«%2$s|» встречает отпор в полуфинальном ответном матче соревнования «%1$s|».
500  =«%2$s|» и «%3$s|»выходят в финал соревнования «%1$s|».
501  =«%2$s|» терпит первую неудачу в финале соревнования «%1$s|».
502  =%s переживает не лучшие времена.
503  =%s пребывает в отличной форме.
504  =%s заявляет о своей верности.
505  =%s
508  =«Можете быть уверены, я буду полностью выкладываться!»
509  =«Я с нетерпением жду, когда смогу играть за свою страну».
510  =«Уверяю, что я пребываю в отличной форме!»
511  =«Победа станет отличным завершением моей карьеры».
512  =«Эта игра для меня ничем не отличается от любой другой. Я всегда выкладываюсь на 110 ％ и играю до финального свистка. Такова моя суть».
513  =«Я сделаю этот день памятным. Так я выражу свою благодарность всем, кто поддерживал меня на протяжении всей карьеры».
514  =«Этот сезон станет для меня последним».
515  =«Каждая игра для меня - как финал кубка».
516  =«Это мой последний год на поле. Оставшееся время я использую, чтобы выразить благодарность своим поклонникам».
517  =«Для меня это невероятно волнующий момент. Это огромная честь».
518  =«Это мечта каждого футболиста, будь то профессионал высшей квалификации или подросток, гоняющий мяч на улице».
519  =«Все, что я могу сделать, - это поблагодарить всех, кто за меня болел. Мои товарищи по команде, болельщики - всех их я считаю своей семьей».
520  =«Выражаю огромную благодарность своей команде. Именно благодаря ей я стал тем, кем являюсь сейчас».
521  =«Я просто хочу пережить это и двигаться дальше».
522  =«Все, что я могу сделать, - это выразить сожаление всем своим болельщикам. Их я подвел больше всего».
523  =«Я очень рад, что вернулся».
524  =«Теперь нужно набрать форму».
525  =«Хорошо, что боли больше нет».
526  =«Я всегда стремлюсь к самосовершенствованию».
527  =«Можете быть уверены - я буду отдавать команде все силы».
528  =«Я не подведу своих фанатов».
529  =«Я хочу продемонстрировать, что стал лучше играть».
530  =«Мне очень приятно снова оказаться дома».
531  =«Я руководил этим клубом, сколько мог».
532  =«Я желаю этой команде всего самого лучшего. Верю в ее светлое будущее».
533  =«Мне было тяжело уходить. Это просто фантастическая команда. Там удивительные люди».
534  =«Я сделал все, что мог, а теперь пришло время двигаться дальше».
535  =«Пора мне отдохнуть от бремени главного тренера».
536  =«Это свидетельствует о том, что я не справлялся и не смог довести до ума эту команду».
537  =«Могу сказать лишь одно: я подвел болельщиков и очень сожалею».
538  =«Нам не удалось достичь ожидаемых результатов. Это моя вина».
539  =«У этой команды впереди длинный путь».
540  =«Моя цель - создать команду победителей».
541  =«Я приложу все усилия, чтобы команда стала играть лучше».
542  =«У этой команды большой потенциал».
543  =«Я предсказываю этой команде огромный успех».
544  =«Могу сказать, что все сложилось как нельзя более удачно».
545  =«Я чувствую себя в отличной форме».
546  =«Мне сейчас все по плечу».
547  =«Мой прогресс налицо».
548  =«Все дается мне легко».
549  =«Нет сомнений, что я прогрессирую с каждым днем».
550  =«Я не упущу возможности перейти в клуб «%s»».
551  =«Нам нужно поймать свою игру».
552  =«Мы все знаем, кто такой %s. Так что на легкую игру рассчитывать не приходится».
553  =«Нет сомнений, что это будет замечательная игра».
554  =«Ее результат имеет большое значение».
556  =«Ни в коем случае нельзя допустить, чтобы они выиграли у нас. Это неприемлемо».
557  =«%s - великий тренер. Снимем перед ним шляпы. Он нас переиграл».
558  =«Это была замечательная игра».
559  =«Нам не везло. В следующий раз мы не должны такого допустить».
560  =«Игра была на равных».
561  =«Все могло обернуться по-другому».
563  =«Команде «%s» просто очень повезло, а если удача сама плывет вам в руки, грех этим не воспользоваться».
564  =«%s почти не мог играть».
565  =«Команда «%s« была очень дисциплинированной и организованной».
566  =«Нам не удалось навязать свой стиль игры».
568  =«Мы выиграли, но победа нам далась нелегко».
569  =«Нам просто удалось реализовать все моменты».
570  =«%s - это просто глыба!»
571  =«Играть за команду, которой руководит %s, - большая честь».
572  =«Мы постоянно ощущали поддержку болельщиков».
573  =«Вот что такое командная игра».
575  =«Мы должны извлечь все уроки из этой игры и учесть свои ошибки в дальнейшем».
576  =«%s привел свою команду к победе».
577  =«%s показал яркую игру».
578  =«%s заслуживал быть в команде-победительнице».
579  =«Сейчас для меня настало время испытаний».
580  =«Все не может складываться удачно. Гораздо важнее то, что ты можешь сделать в сложившихся обстоятельствах».
581  =«Я просто всегда стараюсь делать то, что делаю обычно».
582  =«В следующий свой выход на поле я хочу продемонстрировать настоящее шоу».
583  =«С нетерпением жду следующей игры!»
584  =«Этот позитив прямо витает в воздухе».
585  =«Такой другой команды, как «%s», больше нет».
586  =«%s» сделали меня тем, кем я являюсь сейчас».
587  =«Я хочу выиграть этот титул в составе клуба «%s»».
588  =«%s - просто бесценный игрок».
589  =«%s - игрок, который может стать основой команды».
590  =«То, что %s подписал с нами контракт, - большое достижение».
591  =«%s ничем не уступает любому игроку из первого состава».
592  =«%s - тот, кто может привнести в игру нечто особенное».
593  =«%s - это футболист, которого я должен поблагодарить за наш успех».
594  =«%s еще не полностью приспособился к нашей манере игры».
595  =«%s - это моя большая надежда».
596  =«%s еще должен заслужить свое место в стартовом составе».
597  =Введите данные главного тренера.
598  =Задайте тип игрока, который должен быть найден скаутом, и вам будут регулярно предоставляться такие футболисты.
С ними вы сможете вести переговоры.
599  =Из игроков, удовлетворяющих выбранным условиям, будет сформирован отдельный список.
600  =Этот футболист играет за вашу команду.
602  =Переговоры прошли успешно.
Окончательный переход состоится %2$d|/%1$d|.
603  =Этот игрок готов к переговорам.
608  =Мы получили ответ.
611  =Переговоры отменены.
612  =Переговоры сорвались.
Игрок расценил предложение как недостаточно хорошее.
613  =Договоренность по трансферу достигнута.
615  =Будут повторно обсуждаться условия.
617  =Мы получили ответ.
618  =Договоренность по продлению контракта достигнута.
619  =В конце сезона по истечении срока контракта игрок покидает клуб.
620  =Этот игрок готов к переговорам. Процесс покупки должен пройти без проблем.
621  =Этот игрок готов к переговорам. Контракт с ним будет заключить относительно легко.
622  =Этот игрок готов к переговорам. Сделка возможна, но нужно предложить подходящие условия.
623  =Этот игрок готов к переговорам. Однако заключить эту сделку, скорее всего, будет сложно.
625  =Нужно предложить очень высокие суммы.
626  =Предложенные условия должны подойти.
627  =Есть вероятность того, что наше предложение будет отклонено.
628  =В то, что это предложение будет принято, верится с трудом.
629  =Не знаю игроков, которые бы приняли это предложение.
630  =Я сомневаюсь, что этот игрок согласится на такую сделку.
631  =Предложены новые условия.
632  =Похоже, дело идет к заключению сделки.
633  =Предложение, которое мы сделали, было расценено как недостаточно хорошее.
634  =Похоже, что этому клубу не подходят наши условия.
635  =Вероятно, этот игрок считает, что заслуживает большего.
636  =Мы выдвинули пересмотренное предложение.
Дождитесь ответа.
637  =Переговоры прекращены, поскольку после трансфера в той команде будет слишком мало игроков.
638  =Вам еще нужно указать, какой командой вы хотите руководить в следующем сезоне. Последовательно выберите пункты «Офис главного тренера» > «Тренерская карьера» > «Предложения главному тренеру», а затем - какой-то вариант из списка предложений.
639  =Есть незавершенные переговоры, по которым вы должны дать ответ.
Откройте меню переговоров и дайте ответ.
640  =Выберите, куда вы хотите перейти.
641  =Вы уже подали запрос на трансфер.
Чтобы сделать новый запрос, необходимо отменить текущий.
642  =Начните отложенные переговоры по контракту.
643  =В контракте этого игрока оговорены условия расторжения.
Это предложение принято автоматически, поскольку оно поступило из клуба с высоким рейтингом.
648  =Некоторые игроки, отданные в аренду, добились значительного прогресса.
649  =Оперативное обновл. позволяет пользователям начинать игру с самыми свежими составами команд.
650  =Несмотря на то, что команда «%1$s|» заняла высокое место (%2$d|) в турнирной таблице по итогам сезона, она не сможет перейти в более высокую лигу из-за состояния «Резервная команда». 
651  =В общей совокупности можно освоить до 10 навыков.
Количество навыков, которое вы еще можете освоить, равно %d.

Освоить этот навык?
652  =Вы уже освоили все 10 навыков, поэтому не сможете приобрести новые.
653  =Нельзя отпустить этого футболиста в другую команду, поскольку он включен в список игроков, которых вы собираетесь продать.
654  =Команды поменялись местами в результате перехода в более высокую/низкую лигу. 
655  =Началась новая стадия трансферных переговоров.
656  =Началась новая стадия переговоров о разрыве контракта по обоюдному согласию сторон.
657  =Трансферные переговоры не дали результата.
658  =Переговоры о разрыве контракта по обоюдному согласию сторон не дали результата.
659  =Началась новая стадия переговоров о продлении контракта.
660  =Переговоры о продлении контракта не дали результата.
661  =Сохранить данные внешнего вида в графическом файле?
Сохраненное изображение отображается во многих окнах игры, в частности в главном меню Мастер-лиги.
662  =Вы собираетесь продолжить, не сохранив данные внешнего вида.
Вы уверены?
663  =Скоро вылечится
664  =Соревнования «%s» завершились.
666  =Команда «%s» проиграла.
667  =К сожалению, этому клубу не удалось перейти в лигу «%s».
668  =Команда «%s» вышла в плей-офф соревнования «%s».
669  =Команда «%2$s|» взяла суперкубок в соревновании «%1$s|».
670  =Команда B не может заключать контракты с игроками из команды A.
671  =Он больше не хочет затягивать переговоры.
Вам нужно принять решение прямо сейчас.
672  =Это игрок из команды A.
673  =Вы дали ответы не во всех трансферных переговорах. Если вы не ответите на предложение, переговоры сорвутся.
Все равно продолжить?
674  =Вы дали ответы не во всех переговорах о продлении контракта. Если вы не ответите на предложение, переговоры сорвутся.
Все равно продолжить?
675  =Это список игроков, по которым ведутся переговоры.
676  =Выберите условия поиска игрока.
677  =Задавайте параметры «Игроки для отслеживания» и «Работа скаутов».
678  =Это список игроков, составленный Скаутом.
679  =Это список ваших игроков, подобранных скаутом.
680  =Просмотрите все поступившие вам предложения по должности главного тренера, и укажите свои предпочтения представителям новых команд.
681  =Молодежная команда пополнилась перспективными игроками. Обратите на них внимание.
682  =В этом сезоне состоялись еще не все встречи, внесенные в календарь. Трансферное окно открывается завтра.
Пора проанализировать выступление клуба в целом и его отдельных игроков и решить, какой бы вы хотели видеть свою команду в следующем сезоне.
683  =К концу дня вы должны ответить на предложение занять должность главного тренера в другом клубе.
684  =Рейтинг клубов обновлен.
685  =Рейтинг национальных команд обновлен.
686  =Обязательно ознакомьтесь с результатами этого соревнования. Один из ваших игроков получил персональную награду!
687  =%s был травмирован во время игры. Когда он делал подкат, то получил травму «%s». Похоже, он теперь не сможет играть целый %s.
688  =%s травмировался на тренировке. Диагноз - %s. Теперь он вынужден лечиться весь %s. Скорее всего, причиной стала большая нагрузка на игрока.
689  =%s восстановился после травмы.
690  =%s дисквалифицирован на сегодняшний матч.
691  =Накануне соревнования «%1$s|» объявлены составы национальных сборных.
В число избранных попал %3$s| из команды «%2$s|».
692  =Накануне соревнования «%1$s|» объявлены составы национальных сборных.
В число избранных попали игроки из команды «%2$s|» - %3$d| чел.
693  =%s объявил о завершении своей карьеры в этом сезоне.
694  =У нас проблемы с подбором новых игроков.
Возможно, вам стоит попытаться дать скаутам другие указания.
695  =Я нашел особенного игрока.
У него несомненный талант, а кроме того - Роль в команде «%s».
Сейчас можно будет заключить с ним контракт по оптимальной цене.
696  =Я нашел особенного игрока.
У него несомненный талант, а кроме того Навыки игрока (несколько).
Сейчас можно будет заключить с ним контракт по оптимальной цене.
697  =Я нашел особенного игрока.
У него несомненный талант, а кроме того, он может играть на нескольких позициях.
Сейчас можно будет заключить с ним контракт по оптимальной цене.
698  =Я составил список игроков, которые смогут закрыть наши слабые позиции.
699  =Игроков в списке нет.
Дайте указания для скаутов, и ваш Скаут подыщет игроков, которые соответствуют вашим запросам.
700  =Вам предложили должность главного тренера в команде «%s».
701  =Отличные новости! Мы решили предложить вам продление контракта. Чтобы дать ответ, откройте «Список предложений».
702  =Дата, до которой нужно ответить на это предложение: %1$s|, %2$d|-е число.
703  =%s отрабатывал на тренировках стиль «%s», и ему в конце концов удалось выработать свои Игровой стиль.
704  =%s научился играть на позиции «%s».
705  =Играя в аренде, %1$s| улучшил свой параметр «%2$s|» до значения %3$d|.
706  =Играя в аренде, %1$s| ухудшил свой параметр «%2$s|» до значения %3$d|.
707  =Сегодня вы можете сделать выбор для категории «Мои любимые игроки».
Выберите того, кто вкладывал в игру сердце и душу, и окажите ему честь, добавив в раздел «Мои любимые игроки«.
Перейдите в меню «Офис главного тренера«→«Выбрать «Мои любимые игроки»« и выберите игрока. Он появится в списке на следующий день.
708  =«Мои любимые игроки» - место для лучших из лучших.
Чтобы узнать подробнее, перейдите в меню «Офис главного тренера»→«Тренерская карьера»→«Мои любимые игроки».
709  =Для просмотра выберите пункты «Управление командой» → «Переговоры» → «Работа скаутов».
710  =Сейчас скаут подбирает игроков. Скоро он представит свой отчет...
711  =Удалить из документа «Игроки для отслеживания»
712  =Вы знаете, как сыграл %s, когда его поставили не на любимую позицию?
Если футболисту приходится играть несколько матчей на какой-то новой позиции, он постепенно к ней привыкает и начинает чувствовать себя на ней увереннее.
Если вы хотите подыскать для игрока другую позицию, выпустите его на поле на этой позиции на несколько игр и посмотрите, как он будет справляться.
713  =Если футболисту приходится играть несколько матчей на какой-то новой позиции, он постепенно к ней привыкает и начинает чувствовать себя на ней увереннее.
Если вы хотите подыскать для игрока другую позицию, выпустите его на поле на этой позиции на несколько игр и посмотрите, как он будет справляться.
714  =«%s»
715  =Управляйте игроками, которыми располагает Молодежная команда.
716  =Вы сами знаете, чего ожидают от нас болельщики в матчах с местными соперниками. Так что выходите на поле и играйте как следует!
717  =Сегодня у нас игра с сильным соперником, но и мы не слабаки. Верьте в победу - она нам по плечу!
718  =Мы в финале, друзья! Осталось только выиграть трофей и привезти его домой!
719  =Скоро начнется борьба за титул в соревновании «%s».
720  =Подведен баланс бюджета на зарплату.
Выручка от продаж в прошлом сезоне составила %s.
Нам нужно будет выплатить %s, чтобы выполнить особые условия контрактов.
Чтобы ознакомиться с дополнительными сведениями, выберите «Офис главного тренера», затем «Финансы».
721  =Даже не верится. В этом сезоне мы сделали золотой хет-трик!
722  =Благодаря упорной работе в прошлом году мы привлекли к себе пристальное внимание и выходим на предсезонное соревнование «%s», которое состоится в следующем месяце. В нем в формате лиги будут бороться чемпионы из разных стран. Кроме того, мы можем участвовать в предсезонном туре и получить неплохую прибыль. Дополнительные сведения можно посмотреть в меню «База данных».
723  =Объявлен состав сборной мира для участия в предстоящем матче «Мировое противостояние».
Мы увидим всю элиту футбольного мира, а сама игра несомненно станет поединком века.
724  =Вот мы и дождались дня проведения соревнования «Мировое противостояние».
Получайте удовольствие, сражаясь на футбольном поле плечом к плечу со знаменитыми футболистами!
725  =%s получил травму во время матча. Осмотр врача показал, что это %s, и теперь игрок не сможет выходить на поле целый %s. Риск травмы повышается в результате усталости, поэтому главному тренеру следует контролировать игровую нагрузку и уровень выносливости футболистов.
726  =%s утратил свой уникальный игровой стиль, поскольку продолжил тренировки типа «Баланс».
727  =Вы завевали в этом году 4 титула! Поздравляем!
